name,rank,rate,matches,hero
Hi I am Ruby,World Rank 5,Win Rate 72.31%,715 Matches,lolita
Lɪʟɪ the Dᴏɢ°,World Rank 2,Win Rate 79.76%,3320 Matches,hayabusa
r̶e̶i̶g̶a̶cupu,World Rank 3,Win Rate 65.76%,1066 Matches,hayabusa
「 MLV」Chesster,World Rank 4,Win Rate 66.79%,1072 Matches,hayabusa
ɢᴏsᴜ YL Shadow,World Rank 5,Win Rate 88.02%,1544 Matches,hayabusa
ᴷ Ʀყҽ-v2.0 ᴷ,World Rank 2,Win Rate 82.07%,2884 Matches,freya
『LN』• xLidz,World Rank 3,Win Rate 63.27%,2739 Matches,freya
satriatb,World Rank 4,Win Rate 61.82%,639 Matches,freya
Z̶s̶s|`✿~Mello,World Rank 5,Win Rate 59.32%,2839 Matches,freya
D̶i̶rt̶yVgeta,World Rank 2,Win Rate 74.33%,2731 Matches,gord
AmonZin Br,World Rank 3,Win Rate 63.79%,997 Matches,gord
Ꮰ‘Wolf 愷,World Rank 4,Win Rate 68.82%,1966 Matches,gord
GolD Roger,World Rank 5,Win Rate 74.42%,2248 Matches,gord
SєXy,World Rank 2,Win Rate 82.01%,2830 Matches,natalia
Tig﹏ ʍøcκeƦ™,World Rank 3,Win Rate 86.63%,1750 Matches,natalia
αнмαɖ 963,World Rank 4,Win Rate 73.9%,1743 Matches,natalia
M•T°Lya•Gᴜʀ,World Rank 5,Win Rate 74.92%,1216 Matches,natalia
「恶」Vαℓνα,World Rank 2,Win Rate 75.75%,1138 Matches,kagura
[FAB]Zαψℓεπ,World Rank 3,Win Rate 78.9%,1038 Matches,kagura
ᶰᵛ ғᴇɴʀɪʀ,World Rank 4,Win Rate 79.12%,656 Matches,kagura
BTR · Emperor,World Rank 5,Win Rate 86.11%,871 Matches,kagura
Limit.Pony,World Rank 2,Win Rate 80.49%,1025 Matches,chou
ѵт,World Rank 3,Win Rate 82.03%,1964 Matches,chou
Louvre Yo[R],World Rank 4,Win Rate 68.22%,1202 Matches,chou
мᴜɢʟє  火,World Rank 5,Win Rate 56.52%,798 Matches,chou
Hexa,World Rank 2,Win Rate 54.73%,4411 Matches,sun
鬼•TwjJç☼,World Rank 3,Win Rate 63.44%,1868 Matches,sun
[3698f0]weng,World Rank 4,Win Rate 52.73%,1153 Matches,sun
*See & Play*,World Rank 5,Win Rate 56.39%,477 Matches,sun
EZ_Dark,World Rank 2,Win Rate 75.51%,1731 Matches,alpha
Mα∂иєss° ω9υ,World Rank 3,Win Rate 57.16%,971 Matches,alpha
GTX•Bellaaaa✓,World Rank 4,Win Rate 62.96%,675 Matches,alpha
ᴰᴺᴬ°Pαndlєr,World Rank 5,Win Rate 60.11%,925 Matches,alpha
C'Rine,World Rank 2,Win Rate 73.61%,917 Matches,ruby
K̶ings • bLink_,World Rank 3,Win Rate 71.93%,513 Matches,ruby
BOOM.ID•SamoH†,World Rank 4,Win Rate 80.15%,952 Matches,ruby
ᎦᎢrσηᎶ•VHA,World Rank 5,Win Rate 74.58%,1680 Matches,ruby
❀GC✿  半度ღ,World Rank 2,Win Rate 72.57%,1604 Matches,yi-sun-shin
ᴱˢᶜ`dreaмѕ,World Rank 3,Win Rate 71.44%,1019 Matches,yi-sun-shin
SteveX,World Rank 4,Win Rate 67.48%,489 Matches,yi-sun-shin
ᴿᴴ Void,World Rank 5,Win Rate 83.3%,497 Matches,yi-sun-shin
MP•SNAKERBOY,World Rank 2,Win Rate 69.93%,1267 Matches,moskov
WinStreak,World Rank 3,Win Rate 88.42%,2098 Matches,moskov
ᴊᴀᴠ•Miyabi,World Rank 4,Win Rate 68.05%,1922 Matches,moskov
Smeb.,World Rank 5,Win Rate 86.22%,1292 Matches,moskov
ᴬᴱ | V̶a̶n̶,World Rank 2,Win Rate 89.76%,781 Matches,johnson
имc• Huyền Anh,World Rank 3,Win Rate 77.63%,380 Matches,johnson
● ᴇʀʀᴏʀ ●,World Rank 4,Win Rate 68.26%,1777 Matches,johnson
